,ano,pais,quantidade_exportacao,valor_exportacao,us$/l
1,2010,Afeganistao,0,0,0.0
2,2011,Afeganistao,0,0,0.0
3,2012,Afeganistao,0,0,0.0
4,2013,Afeganistao,0,0,0.0
5,2014,Afeganistao,0,0,0.0
6,2015,Afeganistao,0,0,0.0
7,2016,Afeganistao,0,0,0.0
8,2017,Afeganistao,0,0,0.0
9,2018,Afeganistao,0,0,0.0
10,2019,Afeganistao,0,0,0.0
11,2020,Afeganistao,0,0,0.0
12,2021,Afeganistao,11,46,4.181818181818182
13,2022,Afeganistao,0,0,0.0
14,2023,Afeganistao,0,0,0.0
15,2024,Afeganistao,0,0,0.0
17,2010,Africa do Sul,0,0,0.0
18,2011,Africa do Sul,0,0,0.0
19,2012,Africa do Sul,0,0,0.0
20,2013,Africa do Sul,0,0,0.0
21,2014,Africa do Sul,0,0,0.0
22,2015,Africa do Sul,0,0,0.0
23,2016,Africa do Sul,0,0,0.0
24,2017,Africa do Sul,0,0,0.0
25,2018,Africa do Sul,0,0,0.0
26,2019,Africa do Sul,26,95,3.6538461538461537
27,2020,Africa do Sul,4,21,5.25
28,2021,Africa do Sul,0,0,0.0
29,2022,Africa do Sul,0,0,0.0
30,2023,Africa do Sul,117,698,5.965811965811966
31,2024,Africa do Sul,103,1783,17.310679611650485
33,2010,Alemanha,27715,138666,5.003283420530399
34,2011,Alemanha,36070,144150,3.996395896867203
35,2012,Alemanha,8189,56342,6.880205153254366
36,2013,Alemanha,61699,265978,4.310896448888961
37,2014,Alemanha,213348,761653,3.5700029997937643
38,2015,Alemanha,10680,44780,4.192883895131086
39,2016,Alemanha,14012,68109,4.860762203825293
40,2017,Alemanha,15467,87702,5.670265727031745
41,2018,Alemanha,10794,45382,4.204372799703539
42,2019,Alemanha,3660,25467,6.9581967213114755
43,2020,Alemanha,6261,32605,5.207634563168823
44,2021,Alemanha,2698,6741,2.498517420311342
45,2022,Alemanha,7630,45367,5.945871559633027
46,2023,Alemanha,4806,31853,6.6277569704536
47,2024,Alemanha,6666,48095,7.2149714971497145
49,2010,Angola,33557,189891,5.6587597222636115
50,2011,Angola,13889,69001,4.968032255741954
51,2012,Angola,2833,8861,3.1277797387927992
52,2013,Angola,1573,9300,5.912269548633185
53,2014,Angola,12182,23124,1.8982104744705304
54,2015,Angola,1908,17089,8.95649895178197
55,2016,Angola,7359,35390,4.8090773202880825
56,2017,Angola,10170,61680,6.064896755162242
57,2018,Angola,477,709,1.4863731656184487
58,2019,Angola,345,1065,3.0869565217391304
59,2020,Angola,0,0,0.0
60,2021,Angola,0,0,0.0
61,2022,Angola,4068,4761,1.170353982300885
62,2023,Angola,0,0,0.0
63,2024,Angola,0,0,0.0
65,2010,Anguilla,0,0,0.0
66,2011,Anguilla,0,0,0.0
67,2012,Anguilla,0,0,0.0
68,2013,Anguilla,0,0,0.0
69,2014,Anguilla,0,0,0.0
70,2015,Anguilla,0,0,0.0
71,2016,Anguilla,0,0,0.0
72,2017,Anguilla,0,0,0.0
73,2018,Anguilla,0,0,0.0
74,2019,Anguilla,0,0,0.0
75,2020,Anguilla,0,0,0.0
76,2021,Anguilla,0,0,0.0
77,2022,Anguilla,0,0,0.0
78,2023,Anguilla,0,0,0.0
79,2024,Anguilla,0,0,0.0
81,2010,Antigua e Barbuda,0,0,0.0
82,2011,Antigua e Barbuda,0,0,0.0
83,2012,Antigua e Barbuda,0,0,0.0
84,2013,Antigua e Barbuda,0,0,0.0
85,2014,Antigua e Barbuda,0,0,0.0
86,2015,Antigua e Barbuda,0,0,0.0
87,2016,Antigua e Barbuda,0,0,0.0
88,2017,Antigua e Barbuda,0,0,0.0
89,2018,Antigua e Barbuda,37,191,5.162162162162162
90,2019,Antigua e Barbuda,219,1549,7.073059360730594
91,2020,Antigua e Barbuda,624,1864,2.9871794871794872
92,2021,Antigua e Barbuda,805,2268,2.8173913043478263
93,2022,Antigua e Barbuda,419,1866,4.4534606205250595
94,2023,Antigua e Barbuda,383,1848,4.825065274151436
95,2024,Antigua e Barbuda,447,3329,7.447427293064877
97,2010,Antilhas Holandesas,9810,12808,1.3056065239551478
98,2011,Antilhas Holandesas,7335,10188,1.388957055214724
99,2012,Antilhas Holandesas,9247,14081,1.5227641397209906
100,2013,Antilhas Holandesas,11281,19565,1.7343320627603935
101,2014,Antilhas Holandesas,4455,7169,1.609203142536476
102,2015,Antilhas Holandesas,6660,10545,1.5833333333333333
103,2016,Antilhas Holandesas,16641,26450,1.5894477495342827
104,2017,Antilhas Holandesas,5400,8550,1.5833333333333333
105,2018,Antilhas Holandesas,0,0,0.0
106,2019,Antilhas Holandesas,0,0,0.0
107,2020,Antilhas Holandesas,0,0,0.0
108,2021,Antilhas Holandesas,0,0,0.0
109,2022,Antilhas Holandesas,0,0,0.0
110,2023,Antilhas Holandesas,0,0,0.0
111,2024,Antilhas Holandesas,0,0,0.0
113,2010,Arabia Saudita,0,0,0.0
114,2011,Arabia Saudita,0,0,0.0
115,2012,Arabia Saudita,0,0,0.0
116,2013,Arabia Saudita,0,0,0.0
117,2014,Arabia Saudita,0,0,0.0
118,2015,Arabia Saudita,0,0,0.0
119,2016,Arabia Saudita,0,0,0.0
120,2017,Arabia Saudita,0,0,0.0
121,2018,Arabia Saudita,0,0,0.0
122,2019,Arabia Saudita,0,0,0.0
123,2020,Arabia Saudita,0,0,0.0
124,2021,Arabia Saudita,0,0,0.0
125,2022,Arabia Saudita,0,0,0.0
126,2023,Arabia Saudita,124,142,1.1451612903225807
127,2024,Arabia Saudita,32,54,1.6875
129,2010,Argelia,0,0,0.0
130,2011,Argelia,0,0,0.0
131,2012,Argelia,0,0,0.0
132,2013,Argelia,0,0,0.0
133,2014,Argelia,0,0,0.0
134,2015,Argelia,0,0,0.0
135,2016,Argelia,0,0,0.0
136,2017,Argelia,0,0,0.0
137,2018,Argelia,0,0,0.0
138,2019,Argelia,0,0,0.0
139,2020,Argelia,0,0,0.0
140,2021,Argelia,0,0,0.0
141,2022,Argelia,0,0,0.0
142,2023,Argelia,0,0,0.0
143,2024,Argelia,6,87,14.5
145,2010,Argentina,0,0,0.0
146,2011,Argentina,13253,55460,4.184712895193541
147,2012,Argentina,0,0,0.0
148,2013,Argentina,0,0,0.0
149,2014,Argentina,20385,95130,4.666666666666667
150,2015,Argentina,0,0,0.0
151,2016,Argentina,0,0,0.0
152,2017,Argentina,0,0,0.0
153,2018,Argentina,15711,59150,3.764878110877729
154,2019,Argentina,0,0,0.0
155,2020,Argentina,1015,4176,4.114285714285714
156,2021,Argentina,6,13,2.1666666666666665
157,2022,Argentina,480,3232,6.733333333333333
158,2023,Argentina,4545,36133,7.95005500550055
159,2024,Argentina,21015,167696,7.979823935284321
161,2010,Aruba,0,0,0.0
162,2011,Aruba,900,1680,1.8666666666666667
163,2012,Aruba,0,0,0.0
164,2013,Aruba,0,0,0.0
165,2014,Aruba,450,755,1.6777777777777778
166,2015,Aruba,0,0,0.0
167,2016,Aruba,0,0,0.0
168,2017,Aruba,0,0,0.0
169,2018,Aruba,0,0,0.0
170,2019,Aruba,0,0,0.0
171,2020,Aruba,0,0,0.0
172,2021,Aruba,0,0,0.0
173,2022,Aruba,0,0,0.0
174,2023,Aruba,0,0,0.0
175,2024,Aruba,0,0,0.0
177,2010,Australia,1823,17960,9.851892484914975
178,2011,Australia,3632,40704,11.20704845814978
179,2012,Australia,9345,56045,5.997324772605672
180,2013,Australia,16707,101715,6.088166636739091
181,2014,Australia,6308,43709,6.929137603043754
182,2015,Australia,7437,48011,6.45569450047062
183,2016,Australia,1954,13799,7.061924257932446
184,2017,Australia,1350,7500,5.555555555555555
185,2018,Australia,2055,6902,3.3586374695863745
186,2019,Australia,1161,4682,4.032730404823428
187,2020,Australia,1013,3413,3.3692003948667324
188,2021,Australia,705,4034,5.721985815602837
189,2022,Australia,1424,12299,8.63693820224719
190,2023,Australia,2485,13565,5.458752515090543
191,2024,Australia,2070,19152,9.252173913043478
193,2010,Austria,0,0,0.0
194,2011,Austria,0,0,0.0
195,2012,Austria,0,0,0.0
196,2013,Austria,0,0,0.0
197,2014,Austria,0,0,0.0
198,2015,Austria,0,0,0.0
199,2016,Austria,675,5220,7.733333333333333
200,2017,Austria,0,0,0.0
201,2018,Austria,0,0,0.0
202,2019,Austria,0,0,0.0
203,2020,Austria,0,0,0.0
204,2021,Austria,0,0,0.0
205,2022,Austria,6,212,35.333333333333336
206,2023,Austria,0,0,0.0
207,2024,Austria,0,0,0.0
209,2010,Bahamas,3175,12759,4.018582677165354
210,2011,Bahamas,4529,28810,6.361227644071539
211,2012,Bahamas,1374,12087,8.796943231441048
212,2013,Bahamas,581,5145,8.855421686746988
213,2014,Bahamas,0,0,0.0
214,2015,Bahamas,0,0,0.0
215,2016,Bahamas,0,0,0.0
216,2017,Bahamas,0,0,0.0
217,2018,Bahamas,141,634,4.49645390070922
218,2019,Bahamas,791,3124,3.9494310998735775
219,2020,Bahamas,1212,3703,3.0552805280528053
220,2021,Bahamas,1083,4567,4.216989843028625
221,2022,Bahamas,1215,5799,4.77283950617284
222,2023,Bahamas,1348,7402,5.491097922848665
223,2024,Bahamas,1632,7457,4.5692401960784315
225,2010,Bangladesh,0,0,0.0
226,2011,Bangladesh,0,0,0.0
227,2012,Bangladesh,0,0,0.0
228,2013,Bangladesh,0,0,0.0
229,2014,Bangladesh,0,0,0.0
230,2015,Bangladesh,0,0,0.0
231,2016,Bangladesh,0,0,0.0
232,2017,Bangladesh,0,0,0.0
233,2018,Bangladesh,0,0,0.0
234,2019,Bangladesh,0,0,0.0
235,2020,Bangladesh,3,29,9.666666666666666
236,2021,Bangladesh,2,20,10.0
237,2022,Bangladesh,7,84,12.0
238,2023,Bangladesh,0,0,0.0
239,2024,Bangladesh,0,0,0.0
241,2010,Barbados,0,0,0.0
242,2011,Barbados,0,0,0.0
243,2012,Barbados,0,0,0.0
244,2013,Barbados,0,0,0.0
245,2014,Barbados,0,0,0.0
246,2015,Barbados,0,0,0.0
247,2016,Barbados,0,0,0.0
