2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,valor_por_quantidade
0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4.18
0,0,0,0,0,0,0,0,0,0,26,4,0,0,117,103,10.39
225086,27715,36070,8189,61699,213348,10680,14012,15467,10794,3660,6261,2698,7630,4806,6666,3.35
54786,33557,13889,2833,1573,12182,1908,7359,10170,477,345,0,0,4068,0,0,3.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,37,219,624,805,419,383,447,4.4
8235,9810,7335,9247,11281,4455,6660,16641,5400,0,0,0,0,0,0,0,1.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,32,1.26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14.5
162,0,13253,0,0,20385,0,0,0,15711,0,1015,6,480,4545,21015,5.56
0,0,900,0,0,450,0,0,0,0,0,0,0,0,0,0,1.8
1014,1823,3632,9345,16707,6308,7437,1954,1350,2055,1161,1013,705,1424,2485,2070,6.66
0,0,0,0,0,0,0,675,0,0,0,0,0,6,0,0,7.98
0,3175,4529,1374,581,0,0,0,0,141,791,1212,1083,1215,1348,1632,5.36
0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,0,11.08
0,0,0,0,0,0,0,0,0,0,36,143,216,220,58,773,2.38
0,0,0,0,0,0,0,0,0,0,482,8,302,979,283,178,3.85
125962,42532,11802,16132,22461,151320,4473,7200,2790,7497,2498,3166,483,828,95,960,3.48
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3.22
0,0,0,0,0,0,0,5040,0,0,9,0,0,0,0,0,4.03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,102,8.27
40463,54,12775,11868,19147,12534,10674,13586,9495,21566,0,9900,5850,32530,21926,20334,1.46
0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1.16
0,0,0,0,0,0,0,0,0,0,0,0,31,2504,0,96,0.47
0,0,0,0,0,0,0,0,117,0,0,0,0,5,0,18,12.81
0,11991,600,0,0,0,0,0,0,18,0,0,16,0,0,0,3.99
0,0,0,0,0,0,0,0,1749,0,0,0,0,0,0,0,4.38
15664,0,28906,14304,25329,35082,24547,13711,6075,5308,1589,1672,1172,1183,11539,4320,5.75
0,0,0,0,0,0,0,0,13338,0,0,0,1,0,5,0,6.12
0,0,0,0,0,0,0,0,0,19,19,123,104,160,438,180,4.97
1475,0,0,8550,0,0,0,0,0,11049,0,11,26,2094,9,0,3.04
1553416,795,54156,87905,40929,64040,47609,134106,67594,30835,129852,122253,61884,105395,73917,34231,1.95
0,0,0,0,0,0,0,0,0,279,672,2478,1855,1521,524,988,3.05
2419,1533,911,1212,766,541,1116,5445,0,3298,5044,4049,0,0,0,0,3.26
0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2.31
0,0,0,0,8,0,0,0,0,6944,897,15660,12160,8217,450,0,2.01
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2.78
